"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"138","Aythya fuligula","Aythya fuligula","Aythya fuligula","Anatidae (Ducks, Geese, and Waterfowl)","Tufted Duck",1.94366786865217,NA,NA,NA,NA
"139","Aythya novaeseelandiae","Aythya novaeseelandiae","Aythya novaeseelandiae","Anatidae (Ducks, Geese, and Waterfowl)","New Zealand Scaup",1.51479562,NA,NA,NA,NA
"140","Aythya marila","Aythya marila","Aythya marila","Anatidae (Ducks, Geese, and Waterfowl)","Greater Scaup",1.9392761543,NA,NA,NA,NA
"141","Aythya affinis","Aythya affinis","Aythya affinis","Anatidae (Ducks, Geese, and Waterfowl)","Lesser Scaup",1.83437067048387,"Aythya affinis",-1.186982417,NA,NA
"142","Somateria spectabilis","Somateria spectabilis","Somateria spectabilis","Anatidae (Ducks, Geese, and Waterfowl)","King Eider",2.698603956,NA,NA,NA,NA
"143","Somateria mollissima","Somateria mollissima","Somateria mollissima","Anatidae (Ducks, Geese, and Waterfowl)","Common Eider",1.4610125842,"Somateria mollissima",-1.437903179,NA,NA
"144","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Anatidae (Ducks, Geese, and Waterfowl)","Harlequin Duck",2.031957704375,"Histrionicus histrionicus",-1.743704621,NA,NA
"145","Melanitta perspicillata","Melanitta perspicillata","Melanitta perspicillata","Anatidae (Ducks, Geese, and Waterfowl)","Surf Scoter",1.75138941266667,NA,NA,NA,NA
"146","Melanitta fusca","Melanitta fusca","Melanitta fusca","Anatidae (Ducks, Geese, and Waterfowl)","Velvet Scoter",1.052076519,NA,NA,NA,NA
"147","Melanitta fusca","Melanitta deglandi","Melanitta deglandi","Anatidae (Ducks, Geese, and Waterfowl)","White-winged Scoter",1.81527269133333,NA,NA,NA,NA
"148","Melanitta nigra","Melanitta nigra","Melanitta nigra","Anatidae (Ducks, Geese, and Waterfowl)","Common Scoter",1.2857839454,NA,NA,NA,NA
