"","Species_Jetz","Family_Jetz","Order_Jetz","CommonName","aveUAI","Species_eBird","Order_eBird","Species_BirdLife"
"135","Vultur gryphus","Cathartidae","Accipitriformes","Andean Condor",0.3214180652,"Vultur gryphus","Cathartiformes","Vultur gryphus"
"136","Aix galericulata","Anatidae","Anseriformes","Mandarin Duck",2.59087557418182,"Aix galericulata","Anseriformes","Aix galericulata"
"137","Aix sponsa","Anatidae","Anseriformes","Wood Duck",1.95186535484,"Aix sponsa","Anseriformes","Aix sponsa"
"138","Alopochen aegyptiaca","Anatidae","Anseriformes","Egyptian Goose",1.93030523564286,"Alopochen aegyptiaca","Anseriformes","Alopochen aegyptiaca"
"139","Amazonetta brasiliensis","Anatidae","Anseriformes","Brazilian Teal",1.88254551783333,"Amazonetta brasiliensis","Anseriformes","Amazonetta brasiliensis"
"140","Anas acuta","Anatidae","Anseriformes","Northern Pintail",1.45530456862264,"Anas acuta","Anseriformes","Anas acuta"
"141","Anas americana","Anatidae","Anseriformes","American Wigeon",1.71583221410345,"Mareca americana","Anseriformes","Mareca americana"
"142","Anas andium","Anatidae","Anseriformes","Andean Teal",0.235593219,"Anas andium","Anseriformes","Anas andium"
"143","Anas bahamensis","Anatidae","Anseriformes","White-cheeked Pintail",1.42971039342857,"Anas bahamensis","Anseriformes","Anas bahamensis"
"144","Anas capensis","Anatidae","Anseriformes","Cape Teal",1.496115375,"Anas capensis","Anseriformes","Anas capensis"
"145","Anas castanea","Anatidae","Anseriformes","Chestnut Teal",1.68123703483333,"Anas castanea","Anseriformes","Anas castanea"
"146","Anas chlorotis","Anatidae","Anseriformes","Brown Teal",0.32907421,"Anas chlorotis","Anseriformes","Anas chlorotis"
"147","Anas clypeata","Anatidae","Anseriformes","Northern Shoveler",1.63667720925373,"Spatula clypeata","Anseriformes","Spatula clypeata"
"148","Anas crecca","Anatidae","Anseriformes","Green-winged Teal",1.56755624963077,"Anas crecca","Anseriformes","Anas crecca"
"149","Anas cyanoptera","Anatidae","Anseriformes","Cinnamon Teal",1.38944616913043,"Spatula cyanoptera","Anseriformes","Spatula cyanoptera"
"150","Anas discors","Anatidae","Anseriformes","Blue-winged Teal",1.58146077876923,"Spatula discors","Anseriformes","Spatula discors"
"151","Anas erythrorhyncha","Anatidae","Anseriformes","Red-billed Duck",1.3991442454,"Anas erythrorhyncha","Anseriformes","Anas erythrorhyncha"
"152","Anas falcata","Anatidae","Anseriformes","Falcated Duck",2.03795672333333,"Mareca falcata","Anseriformes","Mareca falcata"
"153","Anas flavirostris","Anatidae","Anseriformes","Yellow-billed Teal",1.40053455277778,"Anas flavirostris","Anseriformes","Anas flavirostris"
"154","Anas fulvigula","Anatidae","Anseriformes","Mottled Duck",1.580106454,"Anas fulvigula","Anseriformes","Anas fulvigula"
"155","Anas georgica","Anatidae","Anseriformes","Yellow-billed Pintail",1.306757826875,"Anas georgica","Anseriformes","Anas georgica"
"156","Anas gibberifrons","Anatidae","Anseriformes","Andaman Teal",0.567790875,"Anas albogularis","Anseriformes","Anas albogularis"
"157","Anas gibberifrons","Anatidae","Anseriformes","Sunda Teal",2.869584218,"Anas gibberifrons","Anseriformes","Anas gibberifrons"
"158","Anas gracilis","Anatidae","Anseriformes","Gray Teal",1.2110739561,"Anas gracilis","Anseriformes","Anas gracilis"
"159","Anas hottentota","Anatidae","Anseriformes","Blue-billed Teal",1.4543910414,"Spatula hottentota","Anseriformes","Spatula hottentota"
"160","Anas melleri","Anatidae","Anseriformes","Meller's Duck",1.637810119,"Anas melleri","Anseriformes","Anas melleri"
"161","Anas penelope","Anatidae","Anseriformes","Eurasian Wigeon",1.48722745879412,"Mareca penelope","Anseriformes","Mareca penelope"
"162","Anas platalea","Anatidae","Anseriformes","Red Shoveler",1.4697695848,"Spatula platalea","Anseriformes","Spatula platalea"
"163","Anas platyrhynchos","Anatidae","Anseriformes","Mallard",2.02728985370968,"Anas platyrhynchos","Anseriformes","Anas platyrhynchos"
"164","Anas poecilorhyncha","Anatidae","Anseriformes","Eastern Spot-billed Duck",2.21250549228571,"Anas zonorhyncha","Anseriformes","Anas zonorhyncha"
"165","Anas poecilorhyncha","Anatidae","Anseriformes","Indian Spot-billed Duck",1.48346018,"Anas poecilorhyncha","Anseriformes","Anas poecilorhyncha"
"166","Anas puna","Anatidae","Anseriformes","Puna Teal",0.484651279,"Spatula puna","Anseriformes","Spatula puna"
"167","Anas querquedula","Anatidae","Anseriformes","Garganey",1.38183604504545,"Spatula querquedula","Anseriformes","Spatula querquedula"
"168","Anas rhynchotis","Anatidae","Anseriformes","Australasian Shoveler",1.144302746,"Spatula rhynchotis","Anseriformes","Spatula rhynchotis"
"169","Anas rubripes","Anatidae","Anseriformes","American Black Duck",2.08335016022222,"Anas rubripes","Anseriformes","Anas rubripes"
"170","Anas sibilatrix","Anatidae","Anseriformes","Chiloe Wigeon",1.7213124996,"Mareca sibilatrix","Anseriformes","Mareca sibilatrix"
"171","Anas smithii","Anatidae","Anseriformes","Cape Shoveler",1.6885350335,"Spatula smithii","Anseriformes","Spatula smithii"
"172","Anas sparsa","Anatidae","Anseriformes","African Black Duck",1.970382216,"Anas sparsa","Anseriformes","Anas sparsa"
"173","Anas strepera","Anatidae","Anseriformes","Gadwall",1.60834040701818,"Mareca strepera","Anseriformes","Mareca strepera"
"174","Anas superciliosa","Anatidae","Anseriformes","Pacific Black Duck",1.5392537233,"Anas superciliosa","Anseriformes","Anas superciliosa"
"175","Anas undulata","Anatidae","Anseriformes","Yellow-billed Duck",1.20223945083333,"Anas undulata","Anseriformes","Anas undulata"
"176","Anas versicolor","Anatidae","Anseriformes","Silver Teal",1.32194641866667,"Spatula versicolor","Anseriformes","Spatula versicolor"
"177","Anser albifrons","Anatidae","Anseriformes","Greater White-fronted Goose",1.42249683103704,"Anser albifrons","Anseriformes","Anser albifrons"
"178","Anser anser","Anatidae","Anseriformes","Graylag Goose",1.4097267212,"Anser anser","Anseriformes","Anser anser"
"179","Anser brachyrhynchus","Anatidae","Anseriformes","Pink-footed Goose",1.67081229325,"Anser brachyrhynchus","Anseriformes","Anser brachyrhynchus"
"180","Anser cygnoides","Anatidae","Anseriformes","Swan Goose",2.7788980755,"Anser cygnoides","Anseriformes","Anser cygnoid"
"181","Anser fabalis","Anatidae","Anseriformes","Taiga Bean-Goose",1.70866929575,"Anser fabalis","Anseriformes","Anser fabalis"
"182","Anser indicus","Anatidae","Anseriformes","Bar-headed Goose",0.8575388156,"Anser indicus","Anseriformes","Anser indicus"
"183","Aythya affinis","Anatidae","Anseriformes","Lesser Scaup",1.83437067048387,"Aythya affinis","Anseriformes","Aythya affinis"
"184","Aythya americana","Anatidae","Anseriformes","Redhead",1.81146714304,"Aythya americana","Anseriformes","Aythya americana"
"185","Aythya australis","Anatidae","Anseriformes","Hardhead",1.62357518,"Aythya australis","Anseriformes","Aythya australis"
"186","Aythya collaris","Anatidae","Anseriformes","Ring-necked Duck",1.83768625630303,"Aythya collaris","Anseriformes","Aythya collaris"
