,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,X,Family_English,Coastal,Notes
67,Cyrtonyx ocellatus,Cyrtonyx ocellatus,Cyrtonyx ocellatus,Odontophoridae (New World Quail),Ocellated Quail,0.20571225,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
68,Dactylortyx thoracicus,Dactylortyx thoracicus,Dactylortyx thoracicus,Odontophoridae (New World Quail),Singing Quail,0.457444212,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
69,Odontophorus capueira,Odontophorus capueira,Odontophorus capueira,Odontophoridae (New World Quail),Spot-winged Wood-Quail,0.766860799,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
70,Odontophorus balliviani,Odontophorus balliviani,Odontophorus balliviani,Odontophoridae (New World Quail),Stripe-faced Wood-Quail,0.034477558,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
71,Odontophorus guttatus,Odontophorus guttatus,Odontophorus guttatus,Odontophoridae (New World Quail),Spotted Wood-Quail,0.043591767,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
72,Arborophila crudigularis,Arborophila crudigularis,Arborophila crudigularis,"Phasianidae (Pheasants, Grouse, and Allies)",Taiwan Partridge,0.55225351,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
73,Arborophila hyperythra,Arborophila hyperythra,Arborophila hyperythra,"Phasianidae (Pheasants, Grouse, and Allies)",Red-breasted Partridge,0.304595223,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
74,Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo,"Phasianidae (Pheasants, Grouse, and Allies)",Wild Turkey,1.107617574,Meleagris gallopavo,0.363763934,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
75,Bonasa umbellus,Bonasa umbellus,Bonasa umbellus,"Phasianidae (Pheasants, Grouse, and Allies)",Ruffed Grouse,0.537657408,Bonasa umbellus,-1.39395727,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
76,Bonasa bonasia,Tetrastes bonasia,Bonasa bonasia,"Phasianidae (Pheasants, Grouse, and Allies)",Hazel Grouse,1.023432377,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
77,Centrocercus urophasianus,Centrocercus urophasianus,Centrocercus urophasianus,"Phasianidae (Pheasants, Grouse, and Allies)",Greater Sage-Grouse,0.029135023,Centrocercus urophasianus,-1.826247249,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
78,Dendragapus obscurus,Dendragapus obscurus,Dendragapus obscurus,"Phasianidae (Pheasants, Grouse, and Allies)",Dusky Grouse,0.31732397,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
79,Dendragapus fuliginosus,Dendragapus fuliginosus,Dendragapus fuliginosus,"Phasianidae (Pheasants, Grouse, and Allies)",Sooty Grouse,0.103413593,Dendragapus fuliginosus,-2.00137474,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
80,Tympanuchus phasianellus,Tympanuchus phasianellus,Tympanuchus phasianellus,"Phasianidae (Pheasants, Grouse, and Allies)",Sharp-tailed Grouse,0.446532609,Tympanuchus phasianellus,-1.329806095,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
81,Tympanuchus cupido,Tympanuchus cupido,Tympanuchus cupido,"Phasianidae (Pheasants, Grouse, and Allies)",Greater Prairie-Chicken,NA,Tympanuchus cupido,-1.988027673,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
82,Lagopus leucura,Lagopus leucura,Lagopus leucura,"Phasianidae (Pheasants, Grouse, and Allies)",White-tailed Ptarmigan,0.013347779,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
83,Lagopus lagopus,Lagopus lagopus,Lagopus lagopus,"Phasianidae (Pheasants, Grouse, and Allies)",Willow Ptarmigan,0.688678877,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
84,Lagopus muta,Lagopus muta,Lagopus muta,"Phasianidae (Pheasants, Grouse, and Allies)",Rock Ptarmigan,0.761113501,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
85,Dendragapus canadensis,Canachites canadensis,Falcipennis canadensis,"Phasianidae (Pheasants, Grouse, and Allies)",Spruce Grouse,0.723661126,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
86,Tetrao tetrix,Lyrurus tetrix,Lyrurus tetrix,"Phasianidae (Pheasants, Grouse, and Allies)",Black Grouse,0.467320375,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
87,Perdix perdix,Perdix perdix,Perdix perdix,"Phasianidae (Pheasants, Grouse, and Allies)",Gray Partridge,1.106371093,Perdix perdix,-0.901563751,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
88,Syrmaticus mikado,Syrmaticus mikado,Syrmaticus mikado,"Phasianidae (Pheasants, Grouse, and Allies)",Mikado Pheasant,0.00272198,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
89,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,"Phasianidae (Pheasants, Grouse, and Allies)",Ring-necked Pheasant,1.130059275,Phasianus colchicus,-0.97445087,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
90,Lophura swinhoii,Lophura swinhoii,Lophura swinhoii,"Phasianidae (Pheasants, Grouse, and Allies)",Swinhoe's Pheasant,0.187756954,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
91,Pavo cristatus,Pavo cristatus,Pavo cristatus,"Phasianidae (Pheasants, Grouse, and Allies)",Indian Peafowl,1.449501132,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
92,Haematortyx sanguiniceps,Haematortyx sanguiniceps,Haematortyx sanguiniceps,"Phasianidae (Pheasants, Grouse, and Allies)",Crimson-headed Partridge,0.303055326,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
93,Galloperdix spadicea,Galloperdix spadicea,Galloperdix spadicea,"Phasianidae (Pheasants, Grouse, and Allies)",Red Spurfowl,0.93334224,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
94,Galloperdix lunulata,Galloperdix lunulata,Galloperdix lunulata,"Phasianidae (Pheasants, Grouse, and Allies)",Painted Spurfowl,0.55838246,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
95,Bambusicola thoracicus,Bambusicola thoracicus,Bambusicola thoracicus,"Phasianidae (Pheasants, Grouse, and Allies)",Chinese Bamboo-Partridge,2.11636443,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
96,Bambusicola thoracicus,Bambusicola sonorivox,Bambusicola sonorivox,"Phasianidae (Pheasants, Grouse, and Allies)",Taiwan Bamboo-Partridge,1.307081162,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
97,Gallus gallus,Gallus gallus,Gallus gallus,"Phasianidae (Pheasants, Grouse, and Allies)",Red Junglefowl,1.732708474,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
98,Gallus sonneratii,Gallus sonneratii,Gallus sonneratii,"Phasianidae (Pheasants, Grouse, and Allies)",Gray Junglefowl,0.59476472,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
99,Francolinus sephaena,Ortygornis sephaena,Dendroperdix sephaena,"Phasianidae (Pheasants, Grouse, and Allies)",Crested Francolin,0.720942008,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
100,Francolinus pondicerianus,Ortygornis pondicerianus,Francolinus pondicerianus,"Phasianidae (Pheasants, Grouse, and Allies)",Gray Francolin,1.590281148,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
101,Francolinus gularis,Ortygornis gularis,Francolinus gularis,"Phasianidae (Pheasants, Grouse, and Allies)",Swamp Francolin,0.203492704,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
102,Francolinus pintadeanus,Francolinus pintadeanus,Francolinus pintadeanus,"Phasianidae (Pheasants, Grouse, and Allies)",Chinese Francolin,1.86210776,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
103,Francolinus francolinus,Francolinus francolinus,Francolinus francolinus,"Phasianidae (Pheasants, Grouse, and Allies)",Black Francolin,0.992692791,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
104,Francolinus pictus,Francolinus pictus,Francolinus pictus,"Phasianidae (Pheasants, Grouse, and Allies)",Painted Francolin,0.890262273,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
105,Coturnix ypsilophora,Synoicus ypsilophorus,Synoicus ypsilophorus,"Phasianidae (Pheasants, Grouse, and Allies)",Brown Quail,0.880274662,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
106,Coturnix chinensis,Synoicus chinensis,Synoicus chinensis,"Phasianidae (Pheasants, Grouse, and Allies)",Blue-breasted Quail,0.234083193,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
107,Coturnix coturnix,Coturnix coturnix,Coturnix coturnix,"Phasianidae (Pheasants, Grouse, and Allies)",Common Quail,0.428704461,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
108,Coturnix pectoralis,Coturnix pectoralis,Coturnix pectoralis,"Phasianidae (Pheasants, Grouse, and Allies)",Stubble Quail,0.306903916,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
109,Alectoris melanocephala,Alectoris melanocephala,Alectoris melanocephala,"Phasianidae (Pheasants, Grouse, and Allies)",Arabian Partridge,0.953603675,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
110,Alectoris rufa,Alectoris rufa,Alectoris rufa,"Phasianidae (Pheasants, Grouse, and Allies)",Red-legged Partridge,1.191667,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
111,Alectoris chukar,Alectoris chukar,Alectoris chukar,"Phasianidae (Pheasants, Grouse, and Allies)",Chukar,1.317174683,Alectoris chukar,-1.584595749,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
112,Perdicula asiatica,Perdicula asiatica,Perdicula asiatica,"Phasianidae (Pheasants, Grouse, and Allies)",Jungle Bush-Quail,1.035860041,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
113,Francolinus erckelii,Pternistis erckelii,Pternistis erckelii,"Phasianidae (Pheasants, Grouse, and Allies)",Erckel's Spurfowl,0.289946055,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
114,Francolinus capensis,Pternistis capensis,Pternistis capensis,"Phasianidae (Pheasants, Grouse, and Allies)",Cape Spurfowl,1.327246675,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
115,Francolinus natalensis,Pternistis natalensis,Pternistis natalensis,"Phasianidae (Pheasants, Grouse, and Allies)",Natal Spurfowl,1.157502791,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
116,Francolinus swainsonii,Pternistis swainsonii,Pternistis swainsonii,"Phasianidae (Pheasants, Grouse, and Allies)",Swainson's Spurfowl,0.876610092,NA,NA,NA,NA,Phasianidae,88,"(Pheasants, Grouse, and Allies)",No,
