"","X","MUTIscore","SciName_MUTI","CommonName_MUTI","Species_eBird","Species_Jetz","Family_Jetz","Order_Jetz","CommonName_UAI","aveUAI.x","Order_eBird","Species_BirdLife","family","family.MUTI","Species_UN","Urban","Family_UN_only","Family_all","Family","BLFamilyEnglish.x","Coastal","Notes","Species","IOCOrder","BLFamilyLatin","BLFamilyEnglish.y","Scientific","English","CoastalSp","aveUAI.y"
"44",709,NA,NA,NA,"Aquila audax","Aquila audax","Accipitridae","Accipitriformes","Wedge-tailed Eagle",0.542604742,"Accipitriformes","Aquila audax",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_audax","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila audax","Wedge-tailed Eagle","No",0.542604742
"45",710,NA,NA,NA,"Aquila chrysaetos","Aquila chrysaetos","Accipitridae","Accipitriformes","Golden Eagle",0.833531358,"Accipitriformes","Aquila chrysaetos",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_chrysaetos","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila chrysaetos","Golden Eagle","Yes",0.833531358
"46",711,NA,NA,NA,"Clanga clanga","Aquila clanga","Accipitridae","Accipitriformes","Greater Spotted Eagle",1.754912619,"Accipitriformes","Clanga clanga",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_clanga","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila clanga","Greater Spotted Eagle","Yes",1.754912619
"47",712,NA,NA,NA,"Aquila fasciata","Aquila fasciatus","Accipitridae","Accipitriformes","Bonelli's Eagle",1.12587868,"Accipitriformes","Aquila fasciata",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_fasciatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila fasciatus","Bonelli's Eagle","No",1.12587868
"48",713,NA,NA,NA,"Clanga hastata","Aquila hastata","Accipitridae","Accipitriformes","Indian Spotted Eagle",1.490141911,"Accipitriformes","Clanga hastata",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_hastata","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila hastata","Indian Spotted Eagle","No",1.490141911
"49",714,NA,NA,NA,"Aquila heliaca","Aquila heliaca","Accipitridae","Accipitriformes","Imperial Eagle",1.216922654,"Accipitriformes","Aquila heliaca",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_heliaca",NA,NA,NA,NA,NA,NA,NA
"50",715,NA,NA,NA,"Aquila nipalensis","Aquila nipalensis","Accipitridae","Accipitriformes","Steppe Eagle",1.655326498,"Accipitriformes","Aquila nipalensis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_nipalensis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila nipalensis","Steppe Eagle","No",1.655326498
"51",716,NA,NA,NA,"Clanga pomarina","Aquila pomarina","Accipitridae","Accipitriformes","Lesser Spotted Eagle",1.800533558,"Accipitriformes","Clanga pomarina",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_pomarina","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila pomarina","Lesser Spotted Eagle","No",1.800533558
"52",717,NA,NA,NA,"Aquila rapax","Aquila rapax","Accipitridae","Accipitriformes","Tawny Eagle",0.914974317,"Accipitriformes","Aquila rapax",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_rapax","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila rapax","Tawny Eagle","No",0.914974317
"53",718,NA,NA,NA,"Aquila verreauxii","Aquila verreauxii","Accipitridae","Accipitriformes","Verreaux's Eagle",1.211401318,"Accipitriformes","Aquila verreauxii",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_verreauxii","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila verreauxii","Verreaux's Eagle","No",1.211401318
"54",719,NA,NA,NA,"Hieraaetus wahlbergi","Aquila wahlbergi","Accipitridae","Accipitriformes","Wahlberg's Eagle",0.738571399,"Accipitriformes","Hieraaetus wahlbergi",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_wahlbergi","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila wahlbergi","Wahlberg's Eagle","No",0.738571399
