,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes
71,Accipiter melanoleucus,Accipiter melanoleucus,Accipiter melanoleucus,"Accipitridae (Hawks, Eagles, and Kites)",Black Goshawk,2.064683248,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
72,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,"Accipitridae (Hawks, Eagles, and Kites)",Northern Goshawk,1.653420419,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
73,Milvus milvus,Milvus milvus,Milvus milvus,"Accipitridae (Hawks, Eagles, and Kites)",Red Kite,0.719705747,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
74,Geranospiza caerulescens,Geranospiza caerulescens,Geranospiza caerulescens,"Accipitridae (Hawks, Eagles, and Kites)",Crane Hawk,0.961202586,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,mangroves
75,Leucopternis schistaceus,Buteogallus schistaceus,Buteogallus schistaceus,"Accipitridae (Hawks, Eagles, and Kites)",Slate-colored Hawk,0.133639637,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,mangroves
76,Buteogallus aequinoctialis,Buteogallus aequinoctialis,Buteogallus aequinoctialis,"Accipitridae (Hawks, Eagles, and Kites)",Rufous Crab Hawk,1.377700612,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,only on coasts
77,Buteo magnirostris,Rupornis magnirostris,Rupornis magnirostris,"Accipitridae (Hawks, Eagles, and Kites)",Roadside Hawk,1.717914126,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
78,Parabuteo unicinctus,Parabuteo unicinctus,Parabuteo unicinctus,"Accipitridae (Hawks, Eagles, and Kites)",Harris's Hawk,2.241553952,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
79,Buteo albicaudatus,Geranoaetus albicaudatus,Geranoaetus albicaudatus,"Accipitridae (Hawks, Eagles, and Kites)",White-tailed Hawk,1.34629837,NA,NA,Buteo albicaudatus,N,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
80,Buteo polyosoma,Geranoaetus polyosoma,Geranoaetus polyosoma,"Accipitridae (Hawks, Eagles, and Kites)",Variable Hawk,0.650181444,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal areas
81,Geranoaetus melanoleucus,Geranoaetus melanoleucus,Geranoaetus melanoleucus,"Accipitridae (Hawks, Eagles, and Kites)",Black-chested Buzzard-Eagle,0.628033581,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,open country
82,Leucopternis occidentalis,Pseudastur occidentalis,Pseudastur occidentalis,"Accipitridae (Hawks, Eagles, and Kites)",Gray-backed Hawk,0.870689572,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,higher elevation
83,Leucopternis semiplumbeus,Leucopternis semiplumbeus,Leucopternis semiplumbeus,"Accipitridae (Hawks, Eagles, and Kites)",Semiplumbeous Hawk,0.227773183,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
84,Buteo nitidus,Buteo plagiatus,Buteo plagiatus,"Accipitridae (Hawks, Eagles, and Kites)",Gray Hawk,0.944008628,Buteo plagiatus,-0.792688966,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
85,Buteo nitidus,Buteo nitidus,Buteo nitidus,"Accipitridae (Hawks, Eagles, and Kites)",Gray-lined Hawk,1.822131315,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
86,Buteo lineatus,Buteo lineatus,Buteo lineatus,"Accipitridae (Hawks, Eagles, and Kites)",Red-shouldered Hawk,1.670350483,Buteo lineatus,1.37136443,Buteo lineatus,U,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
87,Buteo ridgwayi,Buteo ridgwayi,Buteo ridgwayi,"Accipitridae (Hawks, Eagles, and Kites)",Ridgway's Hawk,0.026779846,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
88,Buteo platypterus,Buteo platypterus,Buteo platypterus,"Accipitridae (Hawks, Eagles, and Kites)",Broad-winged Hawk,1.543754105,Buteo platypterus,-0.733911548,Buteo platypterus,N,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
89,Buteo brachyurus,Buteo brachyurus,Buteo brachyurus,"Accipitridae (Hawks, Eagles, and Kites)",Short-tailed Hawk,1.554134227,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,mangroves and tidal marshes (overwinter)
90,Buteo albigula,Buteo albigula,Buteo albigula,"Accipitridae (Hawks, Eagles, and Kites)",White-throated Hawk,0.260708445,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
91,Buteo swainsoni,Buteo swainsoni,Buteo swainsoni,"Accipitridae (Hawks, Eagles, and Kites)",Swainson's Hawk,1.505416308,Buteo swainsoni,0.122082355,Buteo swainsoni,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,salt marshes
92,Buteo albonotatus,Buteo albonotatus,Buteo albonotatus,"Accipitridae (Hawks, Eagles, and Kites)",Zone-tailed Hawk,1.48336823,Buteo albonotatus,-1.676962755,Buteo albonotatus,N,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal plains
93,Buteo jamaicensis,Buteo jamaicensis,Buteo jamaicensis,"Accipitridae (Hawks, Eagles, and Kites)",Red-tailed Hawk,1.406946805,Buteo jamaicensis,1.229218034,Buteo jamaicensis,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastlines
94,Buteo regalis,Buteo regalis,Buteo regalis,"Accipitridae (Hawks, Eagles, and Kites)",Ferruginous Hawk,0.863435187,Buteo regalis,-1.688411843,Buteo regalis,N,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
95,Buteo buteo,Buteo buteo,Buteo buteo,"Accipitridae (Hawks, Eagles, and Kites)",Common Buzzard,1.225068333,NA,NA,Buteo buteo,U,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
96,Buteo buteo,Buteo japonicus,Buteo japonicus,"Accipitridae (Hawks, Eagles, and Kites)",Eastern Buzzard,2.154047552,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
97,Buteo brachypterus,Buteo brachypterus,Buteo brachypterus,"Accipitridae (Hawks, Eagles, and Kites)",Madagascar Buzzard,0.050486367,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
98,Buteo rufinus,Buteo rufinus,Buteo rufinus,"Accipitridae (Hawks, Eagles, and Kites)",Long-legged Buzzard,1.23005876,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,breeds along coast
99,Buteo augur,Buteo augur,Buteo augur,"Accipitridae (Hawks, Eagles, and Kites)",Augur Buzzard,1.161365582,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
100,Buteo rufofuscus,Buteo rufofuscus,Buteo rufofuscus,"Accipitridae (Hawks, Eagles, and Kites)",Jackal Buzzard,0.92270469,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no explicit mention of coasta
101,Actenoides lindsayi,Actenoides lindsayi,Actenoides lindsayi,Alcedinidae (Kingfishers),Spotted Kingfisher,0.87544104,NA,NA,NA,NA,Alcedinidae,(Kingfishers),No,no mention of coastal
102,Chloephaga poliocephala,Chloephaga poliocephala,Chloephaga poliocephala,"Anatidae (Ducks, Geese, and Waterfowl)",Ashy-headed Goose,1.259010221,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,sea coasts
103,Burhinus oedicnemus,Burhinus oedicnemus,Burhinus oedicnemus,Burhinidae (Thick-knees),Eurasian Thick-knee,1.394750992,NA,NA,Burhinus oedicnemus,N,Burhinidae,(Thick-knees),Yes,coastal dunes
104,Burhinus oedicnemus,Burhinus indicus,Burhinus indicus,Burhinidae (Thick-knees),Indian Thick-knee,2.0999885,NA,NA,NA,NA,Burhinidae,(Thick-knees),No,dry forests
105,Burhinus capensis,Burhinus capensis,Burhinus capensis,Burhinidae (Thick-knees),Spotted Thick-knee,2.351602704,NA,NA,NA,NA,Burhinidae,(Thick-knees),Yes,beaches
106,Burhinus bistriatus,Burhinus bistriatus,Burhinus bistriatus,Burhinidae (Thick-knees),Double-striped Thick-knee,0.576115441,NA,NA,NA,NA,Burhinidae,(Thick-knees),Yes,coastal plains and salt marshes
107,Burhinus superciliaris,Burhinus superciliaris,Burhinus superciliaris,Burhinidae (Thick-knees),Peruvian Thick-knee,1.243831695,NA,NA,NA,NA,Burhinidae,(Thick-knees),Yes,restricted to coastal hills
108,Burhinus grallarius,Burhinus grallarius,Burhinus grallarius,Burhinidae (Thick-knees),Bush Thick-knee,1.848885256,NA,NA,Burhinus grallarius,U,Burhinidae,(Thick-knees),Yes,mangroves and saltmarsh
109,Gymnogyps californianus,Gymnogyps californianus,Gymnogyps californianus,Cathartidae (New World Vultures),California Condor,NA,Gymnogyps californianus,-2.012193751,NA,NA,Cathartidae,(New World Vultures),Yes,beaches
110,Vultur gryphus,Vultur gryphus,Vultur gryphus,Cathartidae (New World Vultures),Andean Condor,0.321418065,NA,NA,NA,NA,Cathartidae,(New World Vultures),Yes,forage along shoreline 
111,Sarcoramphus papa,Sarcoramphus papa,Sarcoramphus papa,Cathartidae (New World Vultures),King Vulture,0.215717289,NA,NA,NA,NA,Cathartidae,(New World Vultures),Yes,coastal grassland
112,Cathartes aura,Cathartes aura,Cathartes aura,Cathartidae (New World Vultures),Turkey Vulture,1.405658159,Cathartes aura,0.911774813,NA,NA,Cathartidae,(New World Vultures),Yes,shorelines
