IOCOrder,BLFamilyLatin,BLFamilyEnglish,Species,Scientific,English,CoastalSp,aveUAI
Coraciiformes,Alcedinidae,Kingfishers,Ceryle_rudis,Ceryle rudis,Pied Kingfisher,Yes,1.28046601
Coraciiformes,Alcedinidae,Kingfishers,Megaceryle_maxima,Megaceryle maxima,Giant Kingfisher,Yes,1.353937536
Coraciiformes,Alcedinidae,Kingfishers,Pelargopsis_capensis,Pelargopsis capensis,Stork-billed Kingfisher,Yes,1.365576133
Coraciiformes,Alcedinidae,Kingfishers,Halcyon_albiventris,Halcyon albiventris,Brown-hooded Kingfisher,Yes,1.433294175
Coraciiformes,Alcedinidae,Kingfishers,Alcedo_cristata,Alcedo cristata,Malachite Kingfisher,Yes,1.57618097
Coraciiformes,Alcedinidae,Kingfishers,Megaceryle_torquata,Megaceryle torquata,Ringed Kingfisher,Yes,1.601124484
Coraciiformes,Alcedinidae,Kingfishers,Chloroceryle_amazona,Chloroceryle amazona,Amazon Kingfisher,Yes,1.622786101
Coraciiformes,Alcedinidae,Kingfishers,Megaceryle_alcyon,Megaceryle alcyon,Belted Kingfisher,Yes,1.729034799
Coraciiformes,Alcedinidae,Kingfishers,Halcyon_smyrnensis,Halcyon smyrnensis,White-throated Kingfisher,Yes,1.7370681
Coraciiformes,Alcedinidae,Kingfishers,Alcedo_atthis,Alcedo atthis,Common Kingfisher,Yes,1.753114615
Coraciiformes,Alcedinidae,Kingfishers,Todiramphus_chloris,Todiramphus chloris,Collared Kingfisher,Yes,1.776225476
Coraciiformes,Alcedinidae,Kingfishers,Alcedo_meninting,Alcedo meninting,Blue-eared Kingfisher,Yes,1.878429634
Coraciiformes,Alcedinidae,Kingfishers,Halcyon_pileata,Halcyon pileata,Black-capped Kingfisher,Yes,2.11981745
Coraciiformes,Alcedinidae,Kingfishers,Alcedo_coerulescens,Alcedo coerulescens,Small Blue Kingfisher,Yes,2.550265621
Charadriiformes,Alcidae,Auks,Brachyramphus_marmoratus,Brachyramphus marmoratus,Marbled Murrelet,Yes,0.752083169
Charadriiformes,Alcidae,Auks,Synthliboramphus_antiquus,Synthliboramphus antiquus,Ancient Murrelet,Yes,0.849936371
Charadriiformes,Alcidae,Auks,Cepphus_columba,Cepphus columba,Pigeon Guillemot,Yes,1.046659294
Charadriiformes,Alcidae,Auks,Cerorhinca_monocerata,Cerorhinca monocerata,Rhinoceros Auklet,Yes,1.072395706
Charadriiformes,Alcidae,Auks,Fratercula_arctica,Fratercula arctica,Atlantic Puffin,Yes,1.180852885
Charadriiformes,Alcidae,Auks,Alca_torda,Alca torda,Razorbill,Yes,1.460316072
Charadriiformes,Alcidae,Auks,Cepphus_grylle,Cepphus grylle,Black Guillemot,Yes,1.630544214
Anseriformes,Anatidae,"Ducks, geese and swans",Sarkidiornis_melanotos,Sarkidiornis melanotos,Comb Duck,Yes,0.227253726
Anseriformes,Anatidae,"Ducks, geese and swans",Anas_andium,Anas andium,Andean Teal,,0.235593219
Anseriformes,Anatidae,"Ducks, geese and swans",Chloephaga_melanoptera,Chloephaga melanoptera,Andean Goose,,0.246674384
Anseriformes,Anatidae,"Ducks, geese and swans",Chloephaga_hybrida,Chloephaga hybrida,Kelp Goose,Yes,0.299246026
Anseriformes,Anatidae,"Ducks, geese and swans",Cyanochen_cyanoptera,Cyanochen cyanoptera,Blue-winged Goose,Yes,0.313648798
Anseriformes,Anatidae,"Ducks, geese and swans",Anas_chlorotis,Anas chlorotis,Brown Teal,Yes,0.32907421
Anseriformes,Anatidae,"Ducks, geese and swans",Cereopsis_novaehollandiae,Cereopsis novaehollandiae,Cape Barren Goose,Yes,0.348586312
Anseriformes,Anatidae,"Ducks, geese and swans",Merganetta_armata,Merganetta armata,Torrent Duck,,0.350282191
Anseriformes,Anatidae,"Ducks, geese and swans",Branta_sandvicensis,Branta sandvicensis,Hawaiian Goose,Yes,0.353057482
Anseriformes,Anatidae,"Ducks, geese and swans",Speculanas_specularis,Speculanas specularis,Spectacled Duck,Yes,0.399711877
