"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes"
"192","Rallina eurizonoides","Rallina eurizonoides","Rallina eurizonoides","Rallidae (Rails, Gallinules, and Coots)","Slaty-legged Crake",1.7153947655,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"193","Porzana fusca","Zapornia fusca","Zapornia fusca","Rallidae (Rails, Gallinules, and Coots)","Ruddy-breasted Crake",2.17240620716667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"194","Amaurornis flavirostra","Zapornia flavirostra","Zapornia flavirostra","Rallidae (Rails, Gallinules, and Coots)","Black Crake",1.21159976242857,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"195","Porzana pusilla","Zapornia pusilla","Zapornia pusilla","Rallidae (Rails, Gallinules, and Coots)","Baillon's Crake",1.89125227142857,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"196","Porzana tabuensis","Zapornia tabuensis","Zapornia tabuensis","Rallidae (Rails, Gallinules, and Coots)","Spotless Crake",1.554553027,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"197","Coturnicops noveboracensis","Coturnicops noveboracensis","Coturnicops noveboracensis","Rallidae (Rails, Gallinules, and Coots)","Yellow Rail",0.002293022,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"198","Laterallus melanophaius","Laterallus melanophaius","Laterallus melanophaius","Rallidae (Rails, Gallinules, and Coots)","Rufous-sided Crake",2.76016692,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"199","Laterallus ruber","Laterallus ruber","Laterallus ruber","Rallidae (Rails, Gallinules, and Coots)","Ruddy Crake",1.38017957366667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"200","Laterallus albigularis","Laterallus albigularis","Laterallus albigularis","Rallidae (Rails, Gallinules, and Coots)","White-throated Crake",0.737089164666667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"201","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","Rallidae (Rails, Gallinules, and Coots)","Black Rail",0.890100336,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"202","Balearica regulorum","Balearica regulorum","Balearica regulorum","Gruidae (Cranes)","Gray Crowned-Crane",0.8360286015,NA,NA,NA,NA,"Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"203","Grus paradisea","Anthropoides paradiseus","Anthropoides paradiseus","Gruidae (Cranes)","Blue Crane",0.815857199,NA,NA,NA,NA,"Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"204","Grus leucogeranus","Leucogeranus leucogeranus","Leucogeranus leucogeranus","Gruidae (Cranes)","Siberian Crane",2.243728968,NA,NA,NA,NA,"Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"205","Grus canadensis","Antigone canadensis","Antigone canadensis","Gruidae (Cranes)","Sandhill Crane",0.744852137833333,"Antigone canadensis",-1.210054524,"Grus canadensis","U","Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"206","Grus antigone","Antigone antigone","Antigone antigone","Gruidae (Cranes)","Sarus Crane",1.307275498,NA,NA,"Grus antigone","N","Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"207","Grus rubicunda","Antigone rubicunda","Antigone rubicunda","Gruidae (Cranes)","Brolga",0.252714235666667,NA,NA,"Grus rubicunda","N","Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"208","Grus grus","Grus grus","Grus grus","Gruidae (Cranes)","Common Crane",0.869288594,NA,NA,"Grus grus","N","Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"209","Grus americana","Grus americana","Grus americana","Gruidae (Cranes)","Whooping Crane",0.307590046,NA,NA,"Grus americana","N","Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"210","Pluvianellus socialis","Pluvianellus socialis","Pluvianellus socialis","Pluvianellidae (Magellanic Plover)","Magellanic Plover",0,NA,NA,NA,NA,"Pluvianellidae","(Magellanic Plover)","Yes","coast in winter, fresh or brackish water in other seasons"
"211","Burhinus vermiculatus","Burhinus vermiculatus","Burhinus vermiculatus","Burhinidae (Thick-knees)","Water Thick-knee",1.1696490145,NA,NA,NA,NA,"Burhinidae","(Thick-knees)","Yes",""
"212","Burhinus senegalensis","Burhinus senegalensis","Burhinus senegalensis","Burhinidae (Thick-knees)","Senegal Thick-knee",1.190250185,NA,NA,NA,NA,"Burhinidae","(Thick-knees)","Yes",""
"213","Esacus giganteus","Esacus magnirostris","Esacus magnirostris","Burhinidae (Thick-knees)","Beach Thick-knee",1.10082402933333,NA,NA,NA,NA,"Burhinidae","(Thick-knees)","Yes",""
"214","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus","Recurvirostridae (Stilts and Avocets)","Black-winged Stilt",1.50524461185714,NA,NA,NA,NA,"Recurvirostridae","(Stilts and Avocets)","Yes",""
"215","Himantopus leucocephalus","Himantopus leucocephalus","Himantopus himantopus","Recurvirostridae (Stilts and Avocets)","Pied Stilt",1.15741472466667,NA,NA,NA,NA,"Recurvirostridae","(Stilts and Avocets)","Yes",""
"216","Himantopus novaezelandiae","Himantopus novaezelandiae","Himantopus novaezelandiae","Recurvirostridae (Stilts and Avocets)","Black Stilt",0.209469405,NA,NA,NA,NA,"Recurvirostridae","(Stilts and Avocets)","Yes",""
"217","Himantopus mexicanus","Himantopus mexicanus","Himantopus himantopus","Recurvirostridae (Stilts and Avocets)","Black-necked Stilt",1.45677923434884,"Himantopus mexicanus",0.876865283,NA,NA,"Recurvirostridae","(Stilts and Avocets)","Yes",""
"218","Cladorhynchus leucocephalus","Cladorhynchus leucocephalus","Cladorhynchus leucocephalus","Recurvirostridae (Stilts and Avocets)","Banded Stilt",0.832276966,NA,NA,NA,NA,"Recurvirostridae","(Stilts and Avocets)","Yes",""
"219","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostridae (Stilts and Avocets)","Pied Avocet",1.52507680607143,NA,NA,NA,NA,"Recurvirostridae","(Stilts and Avocets)","Yes",""
"220","Recurvirostra novaehollandiae","Recurvirostra novaehollandiae","Recurvirostra novaehollandiae","Recurvirostridae (Stilts and Avocets)","Red-necked Avocet",1.3073884364,NA,NA,NA,NA,"Recurvirostridae","(Stilts and Avocets)","Yes",""
"221","Recurvirostra americana","Recurvirostra americana","Recurvirostra americana","Recurvirostridae (Stilts and Avocets)","American Avocet",1.46115108665,"Recurvirostra americana",-0.525644467,NA,NA,"Recurvirostridae","(Stilts and Avocets)","Yes",""
"222","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus","Haematopodidae (Oystercatchers)","Eurasian Oystercatcher",1.63923602392308,NA,NA,NA,NA,"Haematopodidae","(Oystercatchers)","Yes",""
"223","Haematopus longirostris","Haematopus longirostris","Haematopus longirostris","Haematopodidae (Oystercatchers)","Pied Oystercatcher",1.030123677125,NA,NA,NA,NA,"Haematopodidae","(Oystercatchers)","Yes",""
"224","Haematopus finschi","Haematopus finschi","Haematopus finschi","Haematopodidae (Oystercatchers)","South Island Oystercatcher",0.619925707,NA,NA,NA,NA,"Haematopodidae","(Oystercatchers)","Yes",""
"225","Haematopus fuliginosus","Haematopus fuliginosus","Haematopus fuliginosus","Haematopodidae (Oystercatchers)","Sooty Oystercatcher",0.886613540833333,NA,NA,NA,NA,"Haematopodidae","(Oystercatchers)","Yes",""
"226","Haematopus bachmani","Haematopus bachmani","Haematopus ater","Haematopodidae (Oystercatchers)","Black Oystercatcher",1.510740241,"Haematopus bachmani",-1.130625617,NA,NA,"Haematopodidae","(Oystercatchers)","Yes",""
"227","Vanellus crassirostris","Vanellus crassirostris","Vanellus crassirostris","Charadriidae (Plovers and Lapwings)","Long-toed Lapwing",0.575541287,NA,NA,NA,NA,"Charadriidae","(Plovers and Lapwings)","Yes",""
